flow_start,duration_s,protocol,src_ip,src_port,dst_ip,dst_port,packets,bytes,tcp_flags,tos,iat_mean,iat_std,payload_entropy,dns_query,bytes_per_sec,packets_per_sec,bytes_per_packet,flag_syn,flag_ack,flag_fin,flag_rst,flag_psh,flag_urg,src_port_category,dst_port_category,flow_duration_class,label,attack_type,attack_category,mitre_technique,mitre_tactic,confidence,evidence_source,threat_intel_score,country,behavioral_flags,flow_file
2026-06-24 17:43:45.980,00:00:00.000,TCP,26b34a7f3ef9,35019,5613ac92e97f,49241,1,52,......S.,0,0.0,0.0,0.0,none,0,0,52,1,0,0,0,0,0,registered,dynamic,instant,Attack_Associated,Port-49241-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,SG,,nfcapd.202606241740
2026-06-24 17:43:47.515,00:00:00.000,TCP,b1a5040b37f6,59190,77d34743d93d,3462,1,52,......S.,0,0.0,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,registered,instant,Attack_Associated,Port-3462-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,SG,,nfcapd.202606241740
2026-06-24 17:43:46.990,00:00:00.000,TCP,b1a5040b37f6,59190,77d34743d93d,3462,1,52,......S.,0,0.0,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,registered,instant,Attack_Associated,Port-3462-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,SG,,nfcapd.202606241740
2026-06-24 17:43:48.195,00:00:00.000,TCP,371d0a6fc8d2,40078,a034e526d4c8,83,1,40,......S.,0,0.0,0.0,0.0,none,0,0,40,1,0,0,0,0,0,registered,well-known,instant,Attack_Associated,Port-83-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,NL,,nfcapd.202606241740
2026-06-24 17:43:47.970,00:00:00.000,TCP,371d0a6fc8d2,40078,a034e526d4c8,83,1,40,......S.,0,0.0,0.0,0.0,none,0,0,40,1,0,0,0,0,0,registered,well-known,instant,Attack_Associated,Port-83-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,NL,,nfcapd.202606241740
2026-06-24 17:43:48.205,00:00:00.000,TCP,b1a5040b37f6,42815,560bd55a28a3,3462,1,52,......S.,0,0.0,0.0,0.0,none,0,0,52,1,0,0,0,0,0,registered,registered,instant,Attack_Associated,Port-3462-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,SG,,nfcapd.202606241740
2026-06-24 17:43:47.980,00:00:00.000,TCP,b1a5040b37f6,42815,560bd55a28a3,3462,1,52,......S.,0,0.0,0.0,0.0,none,0,0,52,1,0,0,0,0,0,registered,registered,instant,Attack_Associated,Port-3462-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,SG,,nfcapd.202606241740
2026-06-24 17:43:48.995,00:00:00.000,TCP,3920d44f55ff,56614,27e2fc05febe,7924,1,52,......S.,0,0.0,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,registered,instant,Attack_Associated,Port-7924-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,SG,,nfcapd.202606241740
2026-06-24 17:43:48.950,00:00:00.000,TCP,3920d44f55ff,56614,27e2fc05febe,7924,1,52,......S.,0,0.0,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,registered,instant,Attack_Associated,Port-7924-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,SG,,nfcapd.202606241740
2026-06-24 17:43:50.105,00:00:00.000,TCP,15fec5bf8023,54757,e7cb8a69043b,9991,1,52,......S.,0,0.0,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,registered,instant,Attack_Associated,Port-9991-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,SG,,nfcapd.202606241740
2026-06-24 17:43:49.940,00:00:00.000,TCP,15fec5bf8023,54757,e7cb8a69043b,9991,1,52,......S.,0,0.0,0.0,0.0,none,0,0,52,1,0,0,0,0,0,dynamic,registered,instant,Attack_Associated,Port-9991-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,SG,,nfcapd.202606241740
2026-06-24 17:43:49.950,00:00:00.000,TCP,3920d44f55ff,39323,7e9ea5de5e26,7924,1,52,......S.,0,0.0,0.0,0.0,none,0,0,52,1,0,0,0,0,0,registered,registered,instant,Attack_Associated,Port-7924-Scan,reconnaissance,T1046,discovery,attacker-associated,honeypot:port-mismatch,100.0,SG,,nfcapd.202606241740
